MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:2147298	Cep120	centrosomal protein 120	18		astral microtubule organization			IDA		J:126953 	
MGI:2147298	Cep120	centrosomal protein 120	18		centrosome cycle			IMP		J:220629 	
MGI:2147298	Cep120	centrosomal protein 120	18		positive regulation of centriole elongation			ISO	Q8N960 	J:164563 	
MGI:2147298	Cep120	centrosomal protein 120	18		positive regulation of centrosome duplication			IMP		J:220629 	
MGI:2680221	Cep126	centrosomal protein 126	9		mitotic spindle organization			ISO	Q9P2H0 	J:164563 	
MGI:107440	Cep131	centrosomal protein 131	11		cell cycle			IEA	KW-0131 	J:60000 	
MGI:107440	Cep131	centrosomal protein 131	11		regulation of centrosome duplication			IBA	PTN001267958 	J:265628 	
MGI:107440	Cep131	centrosomal protein 131	11		regulation of centrosome duplication			ISO	Q9UPN4 	J:164563 	
MGI:2681869	Cep135	centrosomal protein 135	5		centriole replication			ISO	Q66GS9 	J:164563 	
MGI:2681869	Cep135	centrosomal protein 135	5		centriole-centriole cohesion			ISO	Q66GS9 	J:164563 	
MGI:2139083	Cep152	centrosomal protein 152	2		centriole replication			IBA	PTN000818649 	J:265628 	
MGI:2139083	Cep152	centrosomal protein 152	2		centriole replication			IMP		J:203522 	
MGI:2139083	Cep152	centrosomal protein 152	2		centrosome duplication			ISO	O94986 	J:164563 	
MGI:2384878	Cep164	centrosomal protein 164	9		cell cycle			IEA	KW-0131 	J:60000 	
MGI:1918049	Cep192	centrosomal protein 192	18		mitotic spindle assembly			ISO	Q8TEP8 	J:164563 	
MGI:1918049	Cep192	centrosomal protein 192	18		mitotic spindle assembly checkpoint			ISO	NP_115518 	J:131391 	
MGI:1918049	Cep192	centrosomal protein 192	18		regulation of centriole replication			ISO	NP_115518 	J:131391 	
MGI:1918049	Cep192	centrosomal protein 192	18		regulation of centrosome cycle			ISO	NP_115518 	J:131391 	
MGI:108084	Cep250	centrosomal protein 250	2		cell cycle			IEA	KW-0131 	J:60000 	
MGI:108084	Cep250	centrosomal protein 250	2		centriole-centriole cohesion			ISO	Q9BV73 	J:164563 	
MGI:108084	Cep250	centrosomal protein 250	2		mitotic cell cycle			ISO	Q9BV73 	J:164563 	
MGI:108084	Cep250	centrosomal protein 250	2		regulation of centriole-centriole cohesion			ISO	Q9BV73 	J:164563 	
MGI:2442521	Cep295	centrosomal protein 295	9		positive regulation of centriole elongation			ISO	Q9C0D2 	J:164563 	
MGI:2442521	Cep295	centrosomal protein 295	9		positive regulation of centrosome duplication			ISO	Q9C0D2 	J:164563 	
MGI:2442521	Cep295	centrosomal protein 295	9		regulation of centriole replication			IBA	PTN000489313 	J:265628 	
MGI:1929713	Cep295nl	CEP295 N-terminal like	11		regulation of centriole replication			IBA	PTN000489313 	J:265628 	
MGI:1347086	Cetn1	centrin 1	18		cell cycle			IEA	KW-0131 	J:60000 	
MGI:1347086	Cetn1	centrin 1	18		centriole replication			IBA	PTN000549683 	J:265628 	
MGI:1347086	Cetn1	centrin 1	18		mitotic cell cycle			IBA	PTN000549683 	J:265628 	
MGI:1347085	Cetn2	centrin 2	X		cell cycle			IEA	KW-0131 	J:60000 	
MGI:1347085	Cetn2	centrin 2	X		centriole replication			IBA	PTN000549683 	J:265628 	
MGI:1347085	Cetn2	centrin 2	X		centriole replication			ISO	P41208 	J:164563 	
MGI:1347085	Cetn2	centrin 2	X		mitotic cell cycle			IBA	PTN000549683 	J:265628 	
MGI:1347085	Cetn2	centrin 2	X		regulation of cytokinesis			ISO	P41208 	J:164563 	
MGI:1097706	Cetn3	centrin 3	13		cell cycle			IEA	KW-0131 	J:60000 	
MGI:1097706	Cetn3	centrin 3	13		spindle pole body duplication			IBA	PTN000753602 	J:265628 	
MGI:2677454	Cetn4	centrin 4	3		centriole replication			IBA	PTN000549683 	J:265628 	
MGI:2677454	Cetn4	centrin 4	3		mitotic cell cycle			IBA	PTN000549683 	J:265628 	
MGI:101757	Cfl1	cofilin 1, non-muscle	19		mitotic cytokinesis			IMP		J:97332 	
MGI:1915817	Cgref1	cell growth regulator with EF hand domain 1	5		cell cycle			IEA	KW-0131 	J:60000 	
MGI:1915817	Cgref1	cell growth regulator with EF hand domain 1	5		cell cycle arrest			IEA	KW-0338 	J:60000 	
MGI:1916368	Cgrrf1	cell growth regulator with ring finger domain 1	14		cell cycle			IEA	KW-0131 	J:60000 	
MGI:1916368	Cgrrf1	cell growth regulator with ring finger domain 1	14		cell cycle arrest			IEA	KW-0338 	J:60000 	
MGI:1351331	Chaf1a	chromatin assembly factor 1, subunit A (p150)	17		cell cycle			IEA	KW-0131 	J:60000 	
MGI:1314881	Chaf1b	chromatin assembly factor 1, subunit B (p60)	16		cell cycle			IEA	KW-0131 	J:60000 	
MGI:1196398	Champ1	chromosome alignment maintaining phosphoprotein 1	8		attachment of mitotic spindle microtubules to kinetochore			IBA	PTN002204446 	J:265628 	
MGI:1196398	Champ1	chromosome alignment maintaining phosphoprotein 1	8		attachment of mitotic spindle microtubules to kinetochore			ISO	Q96JM3 	J:164563 	
MGI:1196398	Champ1	chromosome alignment maintaining phosphoprotein 1	8		sister chromatid biorientation			IBA	PTN002204446 	J:265628 	
MGI:1196398	Champ1	chromosome alignment maintaining phosphoprotein 1	8		sister chromatid biorientation			ISO	Q96JM3 	J:164563 	
MGI:1344395	Chd3	chromodomain helicase DNA binding protein 3	11		centrosome cycle			ISO	Q12873 	J:164563 	
MGI:1344395	Chd3	chromodomain helicase DNA binding protein 3	11		spindle organization			ISO	Q12873 	J:164563 	
MGI:1202065	Chek1	checkpoint kinase 1	9		cell cycle			IEA	KW-0131 	J:60000 	
MGI:1202065	Chek1	checkpoint kinase 1	9		DNA damage checkpoint			IDA		J:81636 	
MGI:1202065	Chek1	checkpoint kinase 1	9		DNA damage checkpoint			IMP	MGI:1926528 	J:62919 	
MGI:1202065	Chek1	checkpoint kinase 1	9		DNA damage checkpoint			ISO	O14757 	J:164563 	
MGI:1202065	Chek1	checkpoint kinase 1	9		G2/M transition of mitotic cell cycle			IMP	MGI:1926528 	J:62919 	
MGI:1202065	Chek1	checkpoint kinase 1	9		mitotic cell cycle checkpoint			IMP	MGI:1928818 	J:62918 	
MGI:1202065	Chek1	checkpoint kinase 1	9		negative regulation of G2/M transition of mitotic cell cycle			ISO	RGD:620545 	J:155856 	
MGI:1202065	Chek1	checkpoint kinase 1	9		negative regulation of mitotic nuclear division			ISO	O14757 	J:164563 	
MGI:1202065	Chek1	checkpoint kinase 1	9		positive regulation of cell cycle			ISO	O14757 	J:164563 	
MGI:1202065	Chek1	checkpoint kinase 1	9		regulation of mitotic centrosome separation			ISO	O14757 	J:164563 	
MGI:1202065	Chek1	checkpoint kinase 1	9		signal transduction involved in G2 DNA damage checkpoint			ISO	O14757 	J:164563 	
MGI:1355321	Chek2	checkpoint kinase 2	5		cell cycle			IEA	KW-0131 	J:60000 	
MGI:1355321	Chek2	checkpoint kinase 2	5		DNA damage checkpoint			ISO	RGD:621543 	J:155856 	
MGI:1355321	Chek2	checkpoint kinase 2	5		G2/M transition of mitotic cell cycle			ISO	O96017 	J:164563 	
MGI:1355321	Chek2	checkpoint kinase 2	5		mitotic DNA damage checkpoint			IBA	PTN002389571 	J:265628 	
MGI:1355321	Chek2	checkpoint kinase 2	5		mitotic spindle assembly			ISO	O96017 	J:164563 	
MGI:1355321	Chek2	checkpoint kinase 2	5		negative regulation of cell cycle arrest			ISO	RGD:621543 	J:155856 	
MGI:1355321	Chek2	checkpoint kinase 2	5		negative regulation of DNA damage checkpoint			ISO	RGD:621543 	J:155856 	
MGI:1355321	Chek2	checkpoint kinase 2	5		signal transduction involved in intra-S DNA damage checkpoint			ISO	O96017 	J:164563 	
MGI:2444898	Chfr	checkpoint with forkhead and ring finger domains	5		cell cycle			IEA	KW-0131 	J:60000 	
MGI:2444898	Chfr	checkpoint with forkhead and ring finger domains	5		mitotic cell cycle			IMP	MGI:3576266 	J:97428 	
MGI:2444898	Chfr	checkpoint with forkhead and ring finger domains	5		mitotic cell cycle checkpoint			IBA	PTN000412551 	J:265628 	
MGI:2444898	Chfr	checkpoint with forkhead and ring finger domains	5		mitotic cell cycle checkpoint			ISO	Q96EP1 	J:164563 	
MGI:1920159	Chmp1a	charged multivesicular body protein 1A	8		cell cycle			IEA	KW-0131 	J:60000 	
MGI:1920159	Chmp1a	charged multivesicular body protein 1A	8		midbody abscission			ISO	Q9HD42 	J:164563 	
MGI:1920159	Chmp1a	charged multivesicular body protein 1A	8		mitotic chromosome condensation			ISO	Q9HD42 	J:164563 	
MGI:1920159	Chmp1a	charged multivesicular body protein 1A	8		mitotic metaphase plate congression			ISO	Q9HD42 	J:164563 	
MGI:1920159	Chmp1a	charged multivesicular body protein 1A	8		negative regulation of cell cycle			ISO	Q9HD42 	J:164563 	
MGI:1920159	Chmp1a	charged multivesicular body protein 1A	8		regulation of centrosome duplication			ISO	Q9HD42 	J:164563 	
MGI:1920159	Chmp1a	charged multivesicular body protein 1A	8		regulation of mitotic spindle assembly			ISO	Q9HD42 	J:164563 	
MGI:1914314	Chmp1b	charged multivesicular body protein 1B	18		cell cycle			IEA	KW-0131 	J:60000 	
MGI:1914314	Chmp1b	charged multivesicular body protein 1B	18		midbody abscission			ISO	Q7LBR1 	J:164563 	
MGI:1914314	Chmp1b	charged multivesicular body protein 1B	18		mitotic metaphase plate congression			ISO	Q7LBR1 	J:164563 	
MGI:1914314	Chmp1b	charged multivesicular body protein 1B	18		regulation of centrosome duplication			ISO	Q7LBR1 	J:164563 	
MGI:1914314	Chmp1b	charged multivesicular body protein 1B	18		regulation of mitotic spindle assembly			ISO	Q7LBR1 	J:164563 	
MGI:1916203	Chmp2a	charged multivesicular body protein 2A	7		exit from mitosis			ISO	O43633 	J:164563 	
MGI:1916203	Chmp2a	charged multivesicular body protein 2A	7		midbody abscission			ISO	O43633 	J:164563 	
MGI:1916203	Chmp2a	charged multivesicular body protein 2A	7		mitotic metaphase plate congression			ISO	O43633 	J:164563 	
MGI:1916203	Chmp2a	charged multivesicular body protein 2A	7		negative regulation of centriole elongation			ISO	O43633 	J:164563 	
MGI:1916203	Chmp2a	charged multivesicular body protein 2A	7		regulation of centrosome duplication			ISO	O43633 	J:164563 	
MGI:1916203	Chmp2a	charged multivesicular body protein 2A	7		regulation of mitotic spindle assembly			ISO	O43633 	J:164563 	
MGI:1916192	Chmp2b	charged multivesicular body protein 2B	16		midbody abscission			ISO	Q9UQN3 	J:164563 	
MGI:1916192	Chmp2b	charged multivesicular body protein 2B	16		mitotic metaphase plate congression			ISO	Q9UQN3 	J:164563 	
MGI:1916192	Chmp2b	charged multivesicular body protein 2B	16		regulation of centrosome duplication			ISO	Q9UQN3 	J:164563 	
MGI:1916192	Chmp2b	charged multivesicular body protein 2B	16		regulation of mitotic spindle assembly			ISO	Q9UQN3 	J:164563 	
MGI:1913950	Chmp3	charged multivesicular body protein 3	6		cell cycle			IEA	KW-0131 	J:60000 	
MGI:1913950	Chmp3	charged multivesicular body protein 3	6		midbody abscission			ISO	Q9Y3E7 	J:164563 	
MGI:1913950	Chmp3	charged multivesicular body protein 3	6		positive regulation of cytokinesis			ISO	RGD:708556 	J:155856 	
MGI:1913950	Chmp3	charged multivesicular body protein 3	6		regulation of centrosome duplication			ISO	Q9Y3E7 	J:164563 	
MGI:1922858	Chmp4b	charged multivesicular body protein 4B	2		exit from mitosis			ISO	Q9H444 	J:164563 	
MGI:1922858	Chmp4b	charged multivesicular body protein 4B	2		midbody abscission			ISO	Q9H444 	J:164563 	
MGI:1922858	Chmp4b	charged multivesicular body protein 4B	2		mitotic cytokinesis			ISO	Q9H444 	J:164563 	
MGI:1922858	Chmp4b	charged multivesicular body protein 4B	2		mitotic metaphase plate congression			ISO	Q9H444 	J:164563 	
MGI:1922858	Chmp4b	charged multivesicular body protein 4B	2		regulation of centrosome duplication			ISO	Q9H444 	J:164563 	
MGI:1922858	Chmp4b	charged multivesicular body protein 4B	2		regulation of mitotic spindle assembly			ISO	Q9H444 	J:164563 	
MGI:1913621	Chmp4c	charged multivesicular body protein 4C	3		midbody abscission			ISO	Q96CF2 	J:164563 	
MGI:1913621	Chmp4c	charged multivesicular body protein 4C	3		mitotic cytokinesis checkpoint			ISO	Q96CF2 	J:164563 	
MGI:1913621	Chmp4c	charged multivesicular body protein 4C	3		mitotic metaphase plate congression			ISO	Q96CF2 	J:164563 	
MGI:1913621	Chmp4c	charged multivesicular body protein 4C	3		negative regulation of cytokinesis			ISO	Q96CF2 	J:164563 	
MGI:1913621	Chmp4c	charged multivesicular body protein 4C	3		regulation of centrosome duplication			ISO	Q96CF2 	J:164563 	
MGI:1913621	Chmp4c	charged multivesicular body protein 4C	3		regulation of mitotic spindle assembly			ISO	Q96CF2 	J:164563 	
MGI:1924209	Chmp5	charged multivesicular body protein 5	4		midbody abscission			ISO	Q9NZZ3 	J:164563 	
MGI:1924209	Chmp5	charged multivesicular body protein 5	4		mitotic metaphase plate congression			ISO	Q9NZZ3 	J:164563 	
MGI:1924209	Chmp5	charged multivesicular body protein 5	4		regulation of centrosome duplication			ISO	Q9NZZ3 	J:164563 	
MGI:1924209	Chmp5	charged multivesicular body protein 5	4		regulation of mitotic spindle assembly			ISO	Q9NZZ3 	J:164563 	
MGI:3583942	Chmp6	charged multivesicular body protein 6	11		midbody abscission			ISO	Q96FZ7 	J:164563 	
MGI:3583942	Chmp6	charged multivesicular body protein 6	11		mitotic metaphase plate congression			ISO	Q96FZ7 	J:164563 	
MGI:1913922	Chmp7	charged multivesicular body protein 7	14		exit from mitosis			ISO	Q8WUX9 	J:164563 	
MGI:1913922	Chmp7	charged multivesicular body protein 7	14		midbody abscission			ISO	Q8WUX9 	J:164563 	
MGI:1913922	Chmp7	charged multivesicular body protein 7	14		mitotic metaphase plate congression			ISO	Q8WUX9 	J:164563 	
MGI:1914167	Chordc1	cysteine and histidine-rich domain (CHORD)-containing, zinc-binding protein 1	9		regulation of centrosome duplication			IMP		J:159109 	
MGI:2384887	Chtf18	CTF18, chromosome transmission fidelity factor 18	17		cell cycle			IEA	KW-0131 	J:60000 	
MGI:2384887	Chtf18	CTF18, chromosome transmission fidelity factor 18	17		male meiotic nuclear division			IMP	MGI:2177588 	J:194119 	
MGI:2384887	Chtf18	CTF18, chromosome transmission fidelity factor 18	17		reciprocal meiotic recombination	happens in spermatocyte		IMP	MGI:2177588 	J:194119 	
MGI:1344418	Cib1	calcium and integrin binding 1 (calmyrin)	7		cell cycle			IEA	KW-0131 	J:60000 	
MGI:1344418	Cib1	calcium and integrin binding 1 (calmyrin)	7		endomitotic cell cycle			ISO	Q99828 	J:164563 	
MGI:1914486	Cinp	cyclin-dependent kinase 2 interacting protein	12		cell cycle			IEA	KW-0131 	J:60000 	
MGI:893588	Cirbp	cold inducible RNA binding protein	10		regulation of cell cycle G1/S phase transition			IDA		J:40491 	
MGI:105313	Cit	citron	5		cell cycle			IEA	KW-0131 	J:60000 	
MGI:105313	Cit	citron	5		cytokinesis	happens in testis,happens in male germ cell		IMP	MGI:2447844 	J:80899 	
MGI:105313	Cit	citron	5		cytokinesis	happens in main olfactory bulb,happens in CNS neuron (sensu Vertebrata)|happens in hippocampus,happens in CNS neuron (sensu Vertebrata)|happens in cerebellum,happens in CNS neuron (sensu Vertebrata)		IMP	MGI:2447844 	J:77297 	
MGI:105313	Cit	citron	5		G2/M transition of mitotic cell cycle			ISO	RGD:70878 	J:155856 	
MGI:105313	Cit	citron	5		metaphase/anaphase transition of mitotic cell cycle			IMP	MGI:2447844 	J:102082 	
MGI:105313	Cit	citron	5		mitotic cell cycle			IDA		J:77297 	
MGI:105313	Cit	citron	5		mitotic cytokinesis			IBA	PTN002344724 	J:265628 	
MGI:105313	Cit	citron	5		mitotic cytokinesis			ISO	O14578 	J:164563 	
MGI:105313	Cit	citron	5		mitotic sister chromatid segregation			IMP	MGI:2447844 	J:102082 	
MGI:105313	Cit	citron	5		positive regulation of cytokinesis			ISO	O14578 	J:164563 	
MGI:1306784	Cited2	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2	10		positive regulation of cell cycle			IMP		J:50846 	
MGI:1931797	Ckap2	cytoskeleton associated protein 2	8		cell cycle			IEA	KW-0131 	J:60000 	
MGI:1931797	Ckap2	cytoskeleton associated protein 2	8		mitotic cytokinesis			ISO	Q8WWK9 	J:73065 	
MGI:1923036	Ckap5	cytoskeleton associated protein 5	2		cell cycle			IEA	KW-0131 	J:60000 	
MGI:1923036	Ckap5	cytoskeleton associated protein 5	2		centrosome cycle			ISO	X92474 	J:73065 	
MGI:1923036	Ckap5	cytoskeleton associated protein 5	2		centrosome cycle			ISO	Q14008 	J:164563 	
MGI:1923036	Ckap5	cytoskeleton associated protein 5	2		centrosome duplication			IBA	PTN000288762 	J:265628 	
MGI:1923036	Ckap5	cytoskeleton associated protein 5	2		spindle organization			IBA	PTN000288762 	J:265628 	
MGI:1923036	Ckap5	cytoskeleton associated protein 5	2		spindle organization			ISO	Q14008 	J:164563 	
MGI:1889208	Cks1b	CDC28 protein kinase 1b	3		cell cycle			IEA	KW-0131 	J:60000 	
MGI:1889208	Cks1b	CDC28 protein kinase 1b	3		mitotic cell cycle phase transition			IGI	MGI:1913447 	J:140237 	
MGI:1889208	Cks1b	CDC28 protein kinase 1b	3		regulation of mitotic cell cycle			IBA	PTN000602176 	J:265628 	
MGI:3643620	Cks1brt	CDC28 protein kinase 1b, retrogene	8		regulation of mitotic cell cycle			IBA	PTN000602176 	J:265628 	
MGI:1913447	Cks2	CDC28 protein kinase regulatory subunit 2	13		cell cycle			IEA	KW-0131 	J:60000 	
MGI:1913447	Cks2	CDC28 protein kinase regulatory subunit 2	13		meiosis I	happens in male germ cell|happens in female germ cell		IMP	MGI:3586897 	J:99997 	
MGI:1913447	Cks2	CDC28 protein kinase regulatory subunit 2	13		mitotic cell cycle phase transition			IGI	MGI:1889208 	J:140237 	
MGI:1913447	Cks2	CDC28 protein kinase regulatory subunit 2	13		regulation of mitotic cell cycle			IBA	PTN000602176 	J:265628 	
MGI:1923957	Clasp1	CLIP associating protein 1	1		astral microtubule organization			ISO	Q7Z460 	J:164563 	
MGI:1923957	Clasp1	CLIP associating protein 1	1		cell cycle			IEA	KW-0131 	J:60000 	
MGI:1923957	Clasp1	CLIP associating protein 1	1		establishment of mitotic spindle localization			ISO	Q7Z460 	J:164563 	
MGI:1923957	Clasp1	CLIP associating protein 1	1		establishment of spindle orientation			ISO	Q7Z460 	J:176970 	
MGI:1923957	Clasp1	CLIP associating protein 1	1		exit from mitosis			ISO	Q7Z460 	J:164563 	
MGI:1923957	Clasp1	CLIP associating protein 1	1		mitotic spindle organization			ISO	Q7Z460 	J:164563 	
MGI:1923749	Clasp2	CLIP associating protein 2	9		cell cycle			IEA	KW-0131 	J:60000 	
MGI:1923749	Clasp2	CLIP associating protein 2	9		exit from mitosis			ISO	O75122 	J:164563 	
MGI:1923749	Clasp2	CLIP associating protein 2	9		meiotic cell cycle			IEA	KW-0469 	J:60000 	
MGI:1923749	Clasp2	CLIP associating protein 2	9		mitotic spindle organization			ISO	O75122 	J:164563 	
MGI:107472	Clgn	calmegin	8		meiotic cell cycle			IEA	KW-0469 	J:60000 	
MGI:2148924	Clic1	chloride intracellular channel 1	17		regulation of cell cycle			IEA	IPR030259 	J:72247 	
MGI:99698	Clock	circadian locomotor output cycles kaput	5		DNA damage checkpoint			ISO	O15516 	J:164563 	
MGI:2445153	Clspn	claspin	4		cell cycle			IEA	KW-0131 	J:60000 	
MGI:2445153	Clspn	claspin	4		DNA damage checkpoint			ISO	Q9HAW4 	J:164563 	
MGI:2445153	Clspn	claspin	4		DNA replication checkpoint			ISO	AF297866 	J:73065 	
MGI:2445153	Clspn	claspin	4		mitotic DNA replication checkpoint			IBA	PTN001801959 	J:265628 	
MGI:2445153	Clspn	claspin	4		mitotic DNA replication checkpoint			ISO	Q9HAW4 	J:164563 	
MGI:2445153	Clspn	claspin	4		mitotic G2 DNA damage checkpoint			IBA	PTN001801959 	J:265628 	
MGI:2445153	Clspn	claspin	4		mitotic G2 DNA damage checkpoint			ISO	Q9HAW4 	J:164563 	
MGI:894297	Clta	clathrin, light polypeptide (Lca)	4		cell cycle			IEA	KW-0131 	J:60000 	
MGI:2388633	Cltc	clathrin, heavy polypeptide (Hc)	11		cell cycle			IEA	KW-0131 	J:60000 	
MGI:2388633	Cltc	clathrin, heavy polypeptide (Hc)	11		mitotic cell cycle			IBA	PTN002568816 	J:265628 	
MGI:2388633	Cltc	clathrin, heavy polypeptide (Hc)	11		mitotic cell cycle			ISO	RGD:2364 	J:155856 	
MGI:2388633	Cltc	clathrin, heavy polypeptide (Hc)	11		mitotic cell cycle			ISO	Q00610 	J:164563 	
MGI:2388633	Cltc	clathrin, heavy polypeptide (Hc)	11		mitotic spindle assembly			ISO	Q49AL0 	J:137631 	
MGI:2388633	Cltc	clathrin, heavy polypeptide (Hc)	11		regulation of mitotic spindle organization			ISO	Q00610 	J:164563 	
MGI:1916421	Cnppd1	cyclin Pas1/PHO80 domain containing 1	1		regulation of cyclin-dependent protein serine/threonine kinase activity			IEA	IPR013922 	J:72247 	
MGI:1923965	Cntd1	cyclin N-terminal domain containing 1	11		reciprocal meiotic recombination	happens in spermatocyte		IMP	MGI:4363686 	J:215796 	
MGI:2443104	Cntln	centlein, centrosomal protein	4		centriole-centriole cohesion			IBA	PTN000437466 	J:265628 	
MGI:2443104	Cntln	centlein, centrosomal protein	4		centriole-centriole cohesion			ISO	Q9NXG0 	J:164563 	
MGI:1889576	Cntrl	centriolin	2		cell cycle			IEA	KW-0131 	J:60000 	
MGI:1889576	Cntrl	centriolin	2		mitotic cell cycle			IEA	IPR028640 	J:72247 	
MGI:2443290	Cntrob	centrobin, centrosomal BRCA2 interacting protein	11		cell cycle			IEA	KW-0131 	J:60000 	
MGI:2443290	Cntrob	centrobin, centrosomal BRCA2 interacting protein	11		centriole replication			IBA	PTN002438084 	J:265628 	
MGI:2443290	Cntrob	centrobin, centrosomal BRCA2 interacting protein	11		centriole replication			ISO	Q8N137 	J:164563 	
MGI:2443290	Cntrob	centrobin, centrosomal BRCA2 interacting protein	11		centrosome separation			IBA	PTN002438084 	J:265628 	
MGI:2443290	Cntrob	centrobin, centrosomal BRCA2 interacting protein	11		centrosome separation			ISO	Q8N137 	J:164563 	
MGI:2443290	Cntrob	centrobin, centrosomal BRCA2 interacting protein	11		mitotic cytokinetic process			IBA	PTN002438084 	J:265628 	
MGI:2443290	Cntrob	centrobin, centrosomal BRCA2 interacting protein	11		mitotic cytokinetic process			ISO	Q8N137 	J:164563 	
MGI:1349415	Cops5	COP9 signalosome subunit 5	1		regulation of cell cycle	happens in embryo,happens in early embryonic cell		IMP	MGI:3511260 	J:93979 	
MGI:108442	Cpeb1	cytoplasmic polyadenylation element binding protein 1	7		synaptonemal complex assembly			IMP		J:83946 	
MGI:108442	Cpeb1	cytoplasmic polyadenylation element binding protein 1	7		synaptonemal complex assembly	happens in testis,happens in spermatocyte|happens in ovary,happens in oocyte		IMP	MGI:3606747 	J:102097 	
MGI:1336168	Cradd	CASP2 and RIPK1 domain containing adaptor with death domain	10		DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest			IBA	PTN000385749 	J:265628 	
MGI:1336168	Cradd	CASP2 and RIPK1 domain containing adaptor with death domain	10		DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest			ISO	P78560 	J:164563 	
MGI:1098280	Crebbp	CREB binding protein	16		positive regulation of G1/S transition of mitotic cell cycle			ISO	RGD:2401 	J:155856 	
MGI:1860086	Crlf3	cytokine receptor-like factor 3	11		G1/S transition of mitotic cell cycle			ISO	Q8IUI8 	J:164563 	
MGI:1860086	Crlf3	cytokine receptor-like factor 3	11		positive regulation of cell cycle arrest			ISO	Q8IUI8 	J:164563 	
MGI:2685861	Crnn	cornulin	3		positive regulation of cell cycle G1/S phase transition			ISO	Q9UBG3 	J:164563 	
MGI:3529431	Crocc	ciliary rootlet coiled-coil, rootletin	4		cell cycle			IEA	KW-0131 	J:60000 	
MGI:3529431	Crocc	ciliary rootlet coiled-coil, rootletin	4		centriole-centriole cohesion			ISO	Q5TZA2 	J:164563 	
MGI:3529431	Crocc	ciliary rootlet coiled-coil, rootletin	4		centrosome cycle			ISO	Q5TZA2 	J:164563 	
MGI:1270841	Cry1	cryptochrome 1 (photolyase-like)	10		regulation of DNA damage checkpoint			IDA		J:209425 	
MGI:1934950	Csnk1a1	casein kinase 1, alpha 1	18		cell cycle			IEA	KW-0131 	J:60000 	
MGI:1355272	Csnk1d	casein kinase 1, delta	11		spindle assembly			IBA	PTN002629128 	J:265628 	
MGI:1355272	Csnk1d	casein kinase 1, delta	11		spindle assembly			ISO	P48730 	J:164563 	
MGI:88543	Csnk2a1	casein kinase 2, alpha 1 polypeptide	2		regulation of cell cycle			IBA	PTN001171790 	J:265628 	
MGI:88543	Csnk2a1	casein kinase 2, alpha 1 polypeptide	2		regulation of chromosome separation			ISO	P68400 	J:164563 	
MGI:88547	Csnk2a2	casein kinase 2, alpha prime polypeptide	8		cell cycle			IEA	KW-0131 	J:60000 	
MGI:88547	Csnk2a2	casein kinase 2, alpha prime polypeptide	8		regulation of cell cycle			IBA	PTN001171790 	J:265628 	
MGI:88547	Csnk2a2	casein kinase 2, alpha prime polypeptide	8		regulation of cell cycle			IDA		J:49142 J:53281 	
MGI:88547	Csnk2a2	casein kinase 2, alpha prime polypeptide	8		regulation of chromosome separation			IBA	PTN002372870 	J:265628 	
MGI:88547	Csnk2a2	casein kinase 2, alpha prime polypeptide	8		regulation of chromosome separation			ISO	P19784 	J:164563 	
MGI:2681832	Cspp1	centrosome and spindle pole associated protein 1	1		positive regulation of cytokinesis			IBA	PTN001091588 	J:265628 	
MGI:2681832	Cspp1	centrosome and spindle pole associated protein 1	1		positive regulation of cytokinesis			ISO	Q1MSJ5 	J:164563 	
MGI:1201685	Ctbp1	C-terminal binding protein 1	5		regulation of cell cycle			ISO	Q13363 	J:164563 	
MGI:1916214	Ctc1	CTS telomere maintenance complex component 1	11		regulation of G2/M transition of mitotic cell cycle			IMP	MGI:5427642 	J:184809 	
MGI:1926953	Ctdp1	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) phosphatase, subunit 1	18		cell cycle			IEA	KW-0131 	J:60000 	
MGI:1926953	Ctdp1	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) phosphatase, subunit 1	18		exit from mitosis			ISO	Q9Y5B0 	J:164563 	
MGI:2654470	Ctdsp1	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 1	1		negative regulation of G1/S transition of mitotic cell cycle			IDA		J:197728 	
MGI:1098748	Ctdsp2	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 2	10		negative regulation of G1/S transition of mitotic cell cycle			IDA		J:197728 	
MGI:1916524	Ctdspl	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like	9		negative regulation of G1/S transition of mitotic cell cycle			IDA		J:197728 	
MGI:88276	Ctnnb1	catenin (cadherin associated protein), beta 1	9		negative regulation of mitotic cell cycle, embryonic			IMP		J:169444 	
MGI:88276	Ctnnb1	catenin (cadherin associated protein), beta 1	9		regulation of centriole-centriole cohesion			ISO	P35222 	J:164563 	
MGI:88276	Ctnnb1	catenin (cadherin associated protein), beta 1	9		regulation of centromeric sister chromatid cohesion			IMP		J:164744 	
MGI:88276	Ctnnb1	catenin (cadherin associated protein), beta 1	9		regulation of centromeric sister chromatid cohesion			ISO	P35222 	J:164563 	
